subject,predicate,object,sentence
Madcon,won,multi-platinum award,"A music video for A Voice in Dark was released on August 3 , 2010 . This is discography of official releases by Madcon , multi-platinum award winning Norwegian urban duo , consisting of six studio albums , eighteen singles one compilation album . Its All Madcon , Madcons debut album was released in 2004 . So Dark Con of Man , Madcons second album , was released in December 2007. inCONvenient truth , Madcons third album , was released in December 2008 . Contraband , Madcons fourth album , was released in December 2010 . Contakt , Madcons fifth album , was released in June 2012 . Icon , Madcons sixth album , was released in August 2013 . Many films have been released to public domain intentionally by films author , or because copyright has expired . Whos Your Daddy ? is song by rock band Lordi , who won 2006 Eurovision song contest . It is one of six Lordi songs that have been made into music videos by band . It was released in 2006 , as part of album entitled The Arockalypse , same album as their Eurovision- winning song Hard Rock Hallelujah ."
Madcon,is from,Norway,"A music video for A Voice in Dark was released on August 3 , 2010 . This is discography of official releases by Madcon , multi-platinum award winning Norwegian urban duo , consisting of six studio albums , eighteen singles one compilation album . Its All Madcon , Madcons debut album was released in 2004 . So Dark Con of Man , Madcons second album , was released in December 2007. inCONvenient truth , Madcons third album , was released in December 2008 . Contraband , Madcons fourth album , was released in December 2010 . Contakt , Madcons fifth album , was released in June 2012 . Icon , Madcons sixth album , was released in August 2013 . Many films have been released to public domain intentionally by films author , or because copyright has expired . Whos Your Daddy ? is song by rock band Lordi , who won 2006 Eurovision song contest . It is one of six Lordi songs that have been made into music videos by band . It was released in 2006 , as part of album entitled The Arockalypse , same album as their Eurovision- winning song Hard Rock Hallelujah ."
Christian Fredrik Monsen,born on,27 April 1878,Christian Fredrik Monsen ( 27 April 1878 – 31 January 1954 ) was Norwegian politician for Labour Party Communist Party . He was born in Kristiania as son of Ludvig Monsen ( 1854 – 1942 ) Josefine Aurora Marcelie Dehn ( 1852–1942 ) .
Christian Fredrik Monsen,died on,31 January 1954,Christian Fredrik Monsen ( 27 April 1878 – 31 January 1954 ) was Norwegian politician for Labour Party Communist Party . He was born in Kristiania as son of Ludvig Monsen ( 1854 – 1942 ) Josefine Aurora Marcelie Dehn ( 1852–1942 ) .
Christian Fredrik Monsen,was son of,Ludvig Monsen,Christian Fredrik Monsen ( 27 April 1878 – 31 January 1954 ) was Norwegian politician for Labour Party Communist Party . He was born in Kristiania as son of Ludvig Monsen ( 1854 – 1942 ) Josefine Aurora Marcelie Dehn ( 1852–1942 ) .
Christian Fredrik Monsen,was son of,Josefine Aurora Marcelie Dehn,Christian Fredrik Monsen ( 27 April 1878 – 31 January 1954 ) was Norwegian politician for Labour Party Communist Party . He was born in Kristiania as son of Ludvig Monsen ( 1854 – 1942 ) Josefine Aurora Marcelie Dehn ( 1852–1942 ) .
Christian Fredrik Monsen,was born in,Kristiania,Christian Fredrik Monsen ( 27 April 1878 – 31 January 1954 ) was Norwegian politician for Labour Party Communist Party . He was born in Kristiania as son of Ludvig Monsen ( 1854 – 1942 ) Josefine Aurora Marcelie Dehn ( 1852–1942 ) .
Monsen,was installed in,Presidium,"Already before 1945 election , when old Parliament was convened , Monsen was installed in Presidium as Labour Party dropped their former member of presidium Magnus Nilssen ."
Magnus Nilssen,was a former member of presidium,Labour Party,"Already before 1945 election , when old Parliament was convened , Monsen was installed in Presidium as Labour Party dropped their former member of presidium Magnus Nilssen ."
Monsen,headed,Ministry of Defence,Monsen headed Ministry of Defence during short- lived Hornsruds Cabinet in 1928 then during Nygaardsvolds Cabinet .
Monsen,was antimilitarist,Minister of Defence,"Unsusually for Minister of Defence , Monsen was antimilitarist wrote three anti-militarist pamphlets ( Sannheten om militrvesenetAvvbning eller militarisme Militrt vanvidd eller civil fornuft ) ."
Sannheten om militrvesenetAvvbning eller militarisme,is a pamphlet,written by Monsen,"Unsdenly for Minister of Defence , Monsen was antimilitarist wrote three anti-militarist pamphlets ( Sannheten om militrvesenetAvvbning eller militarisme Militrt vanvidd eller civil fornuft ) ."
Randi Monsen,born on,18 February 1910,"Randi Monsen ( 18 February 1910 – 24 August 1997 ) was Norwegian illustrator . She was born in Hamar daughter of politician Fredrik Monsen sister of Per Monsen . She worked for newspaper Arbeiderbladet from 1935 to 1980 . She has illustrated several books , is represented at National Gallery of Norway . In Switzerland , place of origin ( literally home place or citizen place ) denotes where Swiss citizen has their municipal citizenship . It is not to be confused with place of birth or place of residence , although two or all three of these locations may be identical depending on persons circumstances . The Ancient Egyptian artisan Sennedjem lived in Set Maat ( translated as The Place of Truth ) , contemporary Deir el- Medina , on west bank of Nile , opposite Thebes , during reigns of Seti I Ramesses II . Sennedjem had title Servant in Place of Truth . He was buried along with his wife , Iyneferti , family in tomb in village necropolis . His tomb was discovered January 31 , 1886 ."
Sennedjem,lived in,Set Maat ( translated as The Place of Truth ),"The Ancient Egyptian artisan Sennedjem lived in Set Maat ( translated as The Place of Truth ) , contemporary Deir el- Medina , on west bank of Nile , opposite Thebes , during reigns of Seti I Ramesses II . Sennedjem had title Servant in Place of Truth . He was buried along with his wife , Iyneferti , family in tomb in village necropolis . His tomb was discovered January 31 , 1886 ."
Sennedjem,buried in,tomb in village necropolis,"The Ancient Egyptian artisan Sennedjem lived in Set Maat ( translated as The Place of Truth ) , contemporary Deir el- Medina , on west bank of Nile , opposite Thebes , during reigns of Seti I Ramesses II . Sennedjem had title Servant in Place of Truth . He was buried along with his wife , Iyneferti , family in tomb in village necropolis . His tomb was discovered January 31 , 1886 ."
Sennedjem,buried with,Iyneferti,"The Ancient Egyptian artisan Sennedjem lived in Set Maat ( translated as The Place of Truth ) , contemporary Deir el- Medina , on west bank of Nile , opposite Thebes , during reigns of Seti I Ramesses II . Sennedjem had title Servant in Place of Truth . He was buried along with his wife , Iyneferti , family in tomb in village necropolis . His tomb was discovered January 31 , 1886 ."
Sennedjem,had title,Servant in Place of Truth,"Sennedjem had title Servant in Place of Truth . He was buried along with his wife , Iyneferti , family in tomb in village necropolis . His tomb was discovered January 31 , 1886 . When Sennedjems tomb was found , in it there was regular furniture from his home , including stool bed , which he actually used when he was alive . His titles included Servant in Place of Truth , meaning that he worked on excavation decoration of nearby royal tombs . Dance of Death , also called Danse Macabre , is late- medieval allegory of universality of death . Dance of Death or The Dance of Death may also refer to The place of birth ( POB ) or birthplace is place where person was born . This place is often used in legal documents , together with name date of birth , to uniquely identify person . As general rule with respect to passports , place of birth is determined to be country that currently has sovereignty over actual place of birth , regardless of when birth actually occurred . The place of birth is not necessarily place where parents of new baby live . If baby is born in hospital in another place , that place is place of birth ."
Sennedjem,buried with,Iyneferti,"Sennedjem had title Servant in Place of Truth . He was buried along with his wife , Iyneferti , family in tomb in village necropolis . His tomb was discovered January 31 , 1886 . When Sennedjems tomb was found , in it there was regular furniture from his home , including stool bed , which he actually used when he was alive . His titles included Servant in Place of Truth , meaning that he worked on excavation decoration of nearby royal tombs . Dance of Death , also called Danse Macabre , is late- medieval allegory of universality of death . Dance of Death or The Dance of Death may also refer to The place of birth ( POB ) or birthplace is place where person was born . This place is often used in legal documents , together with name date of birth , to uniquely identify person . As general rule with respect to passports , place of birth is determined to be country that currently has sovereignty over actual place of birth , regardless of when birth actually occurred . The place of birth is not necessarily place where parents of new baby live . If baby is born in hospital in another place , that place is place of birth ."
Sennedjem,buried in,tomb in village necropolis,"Sennedjem had title Servant in Place of Truth . He was buried along with his wife , Iyneferti , family in tomb in village necropolis . His tomb was discovered January 31 , 1886 . When Sennedjems tomb was found , in it there was regular furniture from his home , including stool bed , which he actually used when he was alive . His titles included Servant in Place of Truth , meaning that he worked on excavation decoration of nearby royal tombs . Dance of Death , also called Danse Macabre , is late- medieval allegory of universality of death . Dance of Death or The Dance of Death may also refer to The place of birth ( POB ) or birthplace is place where person was born . This place is often used in legal documents , together with name date of birth , to uniquely identify person . As general rule with respect to passports , place of birth is determined to be country that currently has sovereignty over actual place of birth , regardless of when birth actually occurred . The place of birth is not necessarily place where parents of new baby live . If baby is born in hospital in another place , that place is place of birth ."
